mike964	mike964@uchicago.edu	Mike	Tyner	555-619-1510	
morgan599	morgan599@uchicago.edu	Morgan	Tyner	555-307-3327	
bart.kim298	bart.kim298@uchicago.edu	Bart	Kim	555-543-5548	
crabapple.jenna	crabapple.jenna@uchicago.edu	Jenna	Crabapple	555-580-7281	
shorter.jamie-11	shorter.jamie-11@uchicago.edu	Jamie	Shorter	555-659-3030	
smithson-jude	smithson-jude@uchicago.edu	Jude	Smithson	555-609-9076	
simpson.mickey.17	simpson.mickey.17@uchicago.edu	Mickey	Simpson	555-621-5455	
laguna-susan	laguna-susan@uchicago.edu	Susan	Laguna	555-542-5151	
julia-hancock516	julia-hancock516@uchicago.edu	Julia	Hancock	555-312-5447	
jagger.homer	jagger.homer@uchicago.edu	Homer	Jagger	555-467-5583	
ritchie-mickey	ritchie-mickey@uchicago.edu	Mickey	Ritchie	555-587-7178	
crabapple-donald.29	crabapple-donald.29@uchicago.edu	Donald	Crabapple	555-523-6468	
ringo.skinner954	ringo.skinner954@uchicago.edu	Ringo	Skinner	555-478-4033	
mike-lennon450	mike-lennon450@uchicago.edu	Mike	Lennon	555-370-7979	
brown.jenna.42	brown.jenna.42@uchicago.edu	Jenna	Brown	555-374-7032	
page-gerald.80	page-gerald.80@uchicago.edu	Gerald	Page	555-650-7227	
gerry306	gerry306@uchicago.edu	Gerry	Bonham	555-350-7435	
laguna.mickey	laguna.mickey@uchicago.edu	Mickey	Laguna	555-497-3461	
vincent956	vincent956@uchicago.edu	Vincent	Davidson	555-669-8698	
mickey-page227	mickey-page227@uchicago.edu	Mickey	Page	555-239-4343	
jude.djokovic16	jude.djokovic16@uchicago.edu	Jude	Djokovic	555-603-1327	
sammy922	sammy922@uchicago.edu	Sammy	Green	555-651-0985	
bonham.madonna-35	bonham.madonna-35@uchicago.edu	Madonna	Bonham	555-329-5069	
jerry-murray24	jerry-murray24@uchicago.edu	Jerry	Murray	555-352-9899	
sonny972	sonny972@uchicago.edu	Sonny	Blue	555-413-6153	
ed923	ed923@uchicago.edu	Ed	Workman	555-769-5956	
jenna581	jenna581@uchicago.edu	Jenna	Shorter	555-317-2395	
plant-bart.33	plant-bart.33@uchicago.edu	Bart	Plant	555-217-9419	
murray-sidney.69	murray-sidney.69@uchicago.edu	Sidney	Murray	555-778-7365	
mickey149	mickey149@uchicago.edu	Mickey	Laguna	555-705-2242	
adams.jerry	adams.jerry@uchicago.edu	Jerry	Adams	555-554-0724	
melinda-washington87	melinda-washington87@uchicago.edu	Melinda	Washington	555-229-0934	
carter.gerald-20	carter.gerald-20@uchicago.edu	Gerald	Carter	555-253-3853	
harrison.moe	harrison.moe@uchicago.edu	Moe	Harrison	555-345-9398	
